100000
49036	28517
97561	71
9129	89925
22093	51048
10841	40268
3095	27239
7658	66187
73081	22070
72535	1541
5672	82032
61586	28127
97611	91979
98733	32022
55550	35289
87217	95717
39503	28581
86194	68187
85260	88167
38834	81517
97452	77170
81884	25039
40676	56371
14422	34698
18335	88978
49858	71675
42282	73649
71483	94753
15827	26801
40122	24540
31182	62394
15584	81266
80449	88192
72635	3658
21812	13378
62723	39712
97347	20252
16842	9474
40622	81457
865	55727
69270	19348
74688	48668
9696	70222
25547	90447
81283	68374
3601	3044
39275	34173
33470	97269
16884	47249
50533	23203
54688	344
86665	84433
19828	73796
33827	1029
3046	35282
61978	60344
23678	17837
58240	89685
68283	20820
11761	49035
46796	40026
31732	22203
45860	50837
62571	86188
53992	55386
38371	49156
75986	7160
32486	64894
75470	42555
7111	99369
91705	1639
675	3909
77335	18540
19379	40902
7387	68374
82782	7938
74301	34988
46881	70036
92650	70974
6919	35112
84669	62105
22212	90078
69512	44435
39563	75689
143	58145
60805	43263
8585	18429
80233	40039
336	76115
13209	59872
74351	48675
73057	22439
8839	36861
75320	9613
40268	91898
78785	82601
85779	750
77800	89760
27731	95322
79702	95632
36618	35478
55150	4788
17078	26727
47039	13327
60890	87168
81394	16803
38440	32475
71851	31832
40667	66718
30427	90231
93211	12570
68170	32158
76281	24475
89054	84332
62018	20410
82855	22675
23054	25432
6754	64091
16416	89492
47348	37162
55908	61380
57726	95727
39767	8557
45197	84486
38630	68412
32040	48899
17512	86059
17425	69080
6095	87055
24215	92256
98935	96102
41280	7956
29017	26650
60321	46514
90279	4307
93574	3627
94224	45358
94028	67972
39177	21002
33093	93297
82971	19545
78000	68990
20273	17216
28216	24439
94568	30713
9922	85244
86192	58684
87807	38769
41662	89035
22281	84170
70490	1685
23321	54433
69579	15584
39501	4881
52960	1313
30899	32904
50936	16230
21762	96667
23030	2583
82493	84315
15424	21642
99632	18114
31550	61741
18325	2587
26316	55435
76958	59203
23434	48378
87849	22267
5736	47992
15137	47847
36237	97955
66841	85645
96686	21264
63520	87736
46329	85857
43057	48676
80234	12977
86785	84897
35984	1832
97250	46497
88163	92777
21020	39308
82807	84305
79785	2858
76150	19911
50856	8085
13678	41456
19989	94718
26542	88042
66888	23942
92152	33918
4276	3969
55076	13631
99782	98152
34824	69903
53542	8453
48786	95079
48534	18774
1968	85099
56279	78621
25604	16702
74272	73725
15828	90024
15672	72268
60965	49283
42219	18100
49188	28893
42101	65091
18574	50821
31404	22728
84548	34673
16912	24022
28298	74226
30250	60434
42182	72904
3940	15350
1908	65674
84365	53565
94926	52875
44625	14758
8902	76554
78185	63140
15933	69248
27350	1194
21770	3361
67334	26064
82517	62764
30353	48434
49402	10205
19002	89869
46794	26984
13119	92083
40147	70381
82187	81382
41310	66568
63010	17038
69775	88543
10929	1684
61522	79493
46133	72406
81238	57235
44242	46065
64170	20435
83096	40972
14916	58790
53956	49626
98089	2554
37226	23589
73620	32551
57293	19992
17105	91073
46025	1634
55889	20964
48069	1333
50356	87628
50947	64293
23107	20605
22209	17244
16854	2357
10631	84435
32279	83262
65128	35351
63990	3936
32660	84667
53094	58616
72177	6530
85082	27075
20486	87091
55899	38632
25635	64502
3220	65926
97071	17450
66577	92605
58466	31087
97028	24016
99292	33430
19554	77509
12136	63509
97600	21447
96283	91959
7192	11855
99688	2694
96599	52737
75515	6704
5935	98554
77788	34216
56927	98916
77147	45012
37391	33636
86423	16362
65225	10184
69032	31302
80694	89275
8706	29381
165	45378
93921	20631
17787	1053
10994	36337
44234	80409
73783	16106
78842	71435
26527	35100
31144	52100
57573	44562
63903	63393
83326	58831
47216	9418
11322	73283
47185	655
85863	38644
73784	65408
29079	19916
99198	71714
72926	28950
8945	14044
93481	64274
19151	6026
91229	57648
26221	82167
34622	61094
97919	15606
69079	3260
92014	57381
76948	79627
58167	5650
7334	39844
40744	34111
17563	28517
12259	24367
49486	74291
41804	42442
45666	72725
79421	52473
24726	71716
90879	4620
76085	74143
58511	10064
28324	16610
44193	85629
22676	90818
13685	40100
96641	23622
76725	94179
9758	97540
78184	23025
75584	65401
98461	79715
93745	12646
57427	8022
94890	59290
14701	45733
83372	84938
59537	56194
52372	77744
75271	29919
15563	95669
83964	69829
1974	80743
53742	56200
72224	91751
49278	43914
12325	76505
68354	73430
10663	52291
15635	52146
87624	96368
70233	76239
30896	51996
35860	37595
70486	87720
79234	72540
70410	37269
45979	46948
91813	46970
26436	40048
22256	5119
31828	77274
67532	47360
85548	17140
3716	85373
80874	72557
82465	52663
21729	17277
38260	10643
51798	43867
24731	80151
27235	38755
20301	84145
33492	41665
79664	75852
29606	86412
49104	55675
99596	92897
74886	6209
44891	14941
98841	8884
75403	51606
52038	55407
39734	51998
56327	4318
92379	62993
67922	57968
40808	44677
38825	67866
94405	51486
62581	39617
93317	81946
47998	51901
40068	55214
5267	88570
87343	37568
34899	61768
53620	85679
15588	70183
54407	39634
67320	60701
1614	60270
8925	70466
79586	72098
47403	78000
98062	47466
51173	35430
57025	90138
56683	35523
69453	33795
50707	96604
44087	50143
94356	89992
92534	27781
51630	62064
76918	12584
2712	42450
85572	34593
29882	25965
66976	59930
12100	1619
28721	549
39488	63067
80602	74845
56358	99006
29671	90174
73830	68455
31507	4120
49165	96790
87921	96235
81425	11562
67233	58129
11111	61435
97418	65915
17594	42656
90180	71644
41059	22546
61115	73534
85877	30353
47120	14211
76512	28029
49185	71103
2523	93258
87702	42556
31019	4831
84933	94047
4049	9813
56810	90140
65620	74153
47857	77436
59340	88652
86781	9962
75289	1039
56432	64661
86534	15272
61682	1420
60985	29986
27677	45512
72323	82343
88828	6618
24289	6582
67073	80754
12170	87057
79949	6810
65601	97884
80040	24053
27890	64
65001	93378
53766	69896
16221	38875
43153	26016
41457	19000
78865	10091
13561	69559
22782	42012
51399	59924
98782	94361
33511	88580
50991	66268
9823	56587
10700	9283
35985	60531
39850	65293
4554	5540
44042	57934
93666	99553
96679	84185
99949	45351
39287	44297
93077	3165
92315	83962
29800	79496
55872	99001
77636	6389
38238	68425
47806	47823
97045	50208
48938	15096
26757	25107
75714	87762
70309	51216
43056	30565
31991	72642
84134	92328
73980	46972
31074	59354
7196	93456
19485	91463
30682	51414
51883	28293
66856	24903
41721	38709
8350	49073
29476	33109
29522	40963
89596	88234
16806	34815
70087	58840
1699	66252
33579	91323
65408	32019
34496	99310
83775	93583
66310	42016
48891	1968
2906	12195
2957	74710
69872	56543
61174	87815
19246	47159
10515	71658
