1000
0	753	0.02075
753	506	0.1877
506	259	0.5547
259	12	0.6836
12	765	0.1032
765	518	0.4385
518	271	0.1101
271	24	0.1813
24	777	0.854
777	530	0.2456
530	283	0.138
283	36	0.8697
36	789	0.1155
789	542	0.5532
542	295	0.722
295	48	0.2479
48	801	0.6388
801	554	0.8628
554	307	0.5943
307	60	0.9093
60	813	0.7755
813	566	0.2252
566	319	0.7848
319	72	0.7172
72	825	0.5741
825	578	0.07776
578	331	0.734
331	84	0.5936
84	837	0.04144
837	590	0.584
590	343	0.8989
343	96	0.8234
96	849	0.852
849	602	0.6312
602	355	0.3857
355	108	0.2843
108	861	0.2852
861	614	0.1427
614	367	0.6378
367	120	0.5058
120	873	0.6735
873	626	0.8607
626	379	0.7127
379	132	0.9645
132	885	0.14
885	638	0.2556
638	391	0.1773
391	144	0.5224
144	897	0.9097
897	650	0.7199
650	403	0.1542
403	156	0.414
156	909	0.9732
909	662	0.6998
662	415	0.5492
415	168	0.6879
168	921	0.386
921	674	0.9237
674	427	0.992
427	180	0.5105
180	933	0.9836
933	686	0.3824
686	439	0.5204
439	192	0.2368
192	945	0.793
945	698	0.2171
698	451	0.5413
451	204	0.6553
204	957	0.9244
957	710	0.1726
710	463	0.09659
463	216	0.3123
216	969	0.221
969	722	0.7703
722	475	0.9681
475	228	0.3239
228	981	0.4509
981	734	0.8587
734	487	0.6512
487	240	0.579
240	993	0.3207
993	746	0.6975
746	499	0.7294
499	252	0.7422
252	5	0.09296
5	758	0.2301
758	511	0.6795
511	264	0.9614
264	17	0.08814
17	770	0.7025
770	523	0.6407
523	276	0.6867
276	29	0.8527
29	782	0.2842
782	535	0.1773
535	288	0.5072
288	41	0.2747
41	794	0.8471
794	547	0.5669
547	300	0.4108
300	53	0.4273
53	806	0.5587
806	559	0.645
559	312	0.3754
312	65	0.4225
65	818	0.4464
818	571	0.7383
571	324	0.6952
324	77	0.05622
77	830	0.5884
830	583	0.7162
583	336	0.9501
336	89	0.5245
89	842	0.08798
842	595	0.6931
595	348	0.02399
348	101	0.9946
101	854	0.4874
854	607	0.4122
607	360	0.07804
360	113	0.3096
113	866	0.7767
866	619	0.8426
619	372	0.8852
372	125	0.6102
125	878	0.6559
878	631	0.02017
631	384	0.4324
384	137	0.1528
137	890	0.2039
890	643	0.6636
643	396	0.1967
396	149	0.1065
149	902	0.6127
902	655	0.5977
655	408	0.01038
408	161	0.6103
161	914	0.1422
914	667	0.514
667	420	0.857
420	173	0.8702
173	926	0.9517
